course_code,course,EX,A,B,C,D,P,F,session,category,Personal Interest,EX_percent,A_percent,B_percent,C_percent,D_percent,P_percent,F_percent,Mean Grade,cum_EX_A_%,cum_EX_A_B_%,"cum_EX,A,B,C_%"
MI39013,MINING MACHINERY LABORATORY ,25,35,14,4,2,0,0,Autumn 21,Mining Engineering_related_roles,,31.25,43.75,17.5,5.0,2.5,0.0,0.0,8.9625,75.0,92.5,97.5
MI31002,MINE HAZARDS AND RESCUE ,10,15,45,9,0,0,0,Spring 22,Mining Engineering_related_roles,,12.658227848101266,18.9873417721519,56.9620253164557,11.39240506329114,0.0,0.0,0.0,8.329113924050633,31.645569620253166,88.60759493670886,100.0
MI31004,ECONOMICS OF MINING ENTERPRISES ,10,15,16,22,16,0,0,Spring 22,Mining Engineering_related_roles,,12.658227848101266,18.9873417721519,20.253164556962027,27.848101265822784,20.253164556962027,0.0,0.0,7.7594936708860756,31.645569620253166,51.89873417721519,79.74683544303798
MI31008,SURFACE MINING ,8,38,24,5,3,1,0,Spring 22,Mining Engineering_related_roles,,10.126582278481013,48.10126582278481,30.37974683544304,6.329113924050633,3.79746835443038,1.2658227848101267,0.0,8.443037974683545,58.22784810126582,88.60759493670886,94.9367088607595
MI38002,FIELD TRIPS ,8,26,24,12,9,0,0,Spring 22,Mining Engineering_related_roles,,10.126582278481013,32.91139240506329,30.37974683544304,15.18987341772152,11.39240506329114,0.0,0.0,8.151898734177216,43.037974683544306,73.41772151898735,88.60759493670886
MI39002,MINE HAZARDS AND RESCUE LABORATORY ,4,11,36,22,4,2,0,Spring 22,Mining Engineering_related_roles,,5.063291139240507,13.924050632911392,45.56962025316456,27.848101265822784,5.063291139240507,2.5316455696202533,0.0,7.658227848101266,18.9873417721519,64.55696202531647,92.40506329113924
MI40021,APPLIED ROCK ENGINEERING ,5,16,28,15,8,7,0,Spring 22,Mining Engineering_related_roles,,6.329113924050633,20.253164556962027,35.44303797468354,18.9873417721519,10.126582278481013,8.860759493670885,0.0,7.227848101265823,26.582278481012658,62.0253164556962,81.0126582278481
MI40001,ENVIRONMENTAL ENGINEERING ,7,17,18,13,9,13,2,Autumn 22,Mining Engineering_related_roles,,8.860759493670885,21.518987341772153,22.78481012658228,16.455696202531644,11.39240506329114,16.455696202531644,2.5316455696202533,6.481012658227848,30.379746835443036,53.164556962025316,69.62025316455696
MI47005,PROJECT-I ,11,22,18,12,4,1,0,Autumn 22,Mining Engineering_related_roles,,16.176470588235293,32.35294117647059,26.47058823529412,17.647058823529413,5.88235294117647,1.4705882352941175,0.0,8.235294117647058,48.529411764705884,75.0,92.64705882352942
MI69203, ,8,44,23,4,0,0,0,Autumn 22,Mining Engineering_related_roles,,10.126582278481013,55.69620253164557,29.11392405063291,5.063291139240507,0.0,0.0,0.0,8.708860759493671,65.82278481012658,94.9367088607595,100.0
CS60055, ,1,1,0,1,0,0,0,Autumn 22,Computer Science_related_roles,,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.0,8.666666666666666,66.66666666666666,66.66666666666666,99.99999999999999
MI61003, ,1,3,4,1,1,2,0,Autumn 22,Mining Engineering_related_roles,,8.333333333333332,25.0,33.33333333333333,8.333333333333332,8.333333333333332,16.666666666666664,0.0,6.833333333333333,33.33333333333333,66.66666666666666,74.99999999999999
MI60041, ,1,1,2,2,5,1,0,Autumn 22,Mining Engineering_related_roles,,8.333333333333332,8.333333333333332,16.666666666666664,16.666666666666664,41.66666666666667,8.333333333333332,0.0,6.583333333333333,16.666666666666664,33.33333333333333,49.99999999999999
MI62001, ,1,1,2,2,4,4,0,Autumn 22,Mining Engineering_related_roles,,7.142857142857142,7.142857142857142,14.285714285714285,14.285714285714285,28.57142857142857,28.57142857142857,0.0,5.214285714285714,14.285714285714285,28.57142857142857,42.857142857142854
MI40042,TUNNELING & UNDERGROUND SPACE TECHNOLOGY ,0,0,0,0,3,0,0,Spring 21,Mining Engineering_related_roles,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,6.0,0.0,0.0,0.0
MI60051, ,0,0,0,1,0,0,0,Autumn 22,Mining Engineering_related_roles,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.0,0.0,0.0,100.0
ME21103,MECHANICS OF SOLIDS ,4,11,31,5,1,0,0,Autumn 20,Mechanical Engineering_related_roles,,7.6923076923076925,21.153846153846153,59.61538461538461,9.615384615384617,1.9230769230769231,0.0,0.0,8.23076923076923,28.846153846153847,88.46153846153845,98.07692307692307
NA21003,MARINE CONSTRUCTION AND WELDING ,8,24,15,5,0,0,0,Autumn 20,Ocean Engineering and Naval Architecture_related_roles,,15.384615384615385,46.15384615384615,28.846153846153843,9.615384615384617,0.0,0.0,0.0,8.673076923076923,61.53846153846154,90.38461538461539,100.0
NA21101,HYDROSTATICS AND STABILITY ,27,18,6,1,0,0,0,Autumn 20,Ocean Engineering and Naval Architecture_related_roles,,51.92307692307693,34.61538461538461,11.538461538461538,1.9230769230769231,0.0,0.0,0.0,9.365384615384615,86.53846153846155,98.07692307692308,100.0
